PAYER_ID,NAME,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS,SYNTHEA_CITY
1000000,Medicare,23970274422.24,1743702849.19,2718479175.3,12115134,0,128452,0.6791897742657729,16595232,CLEVELAND
1000001,Medicaid,101876331040.24,3130376268.22,1069758300.0,37187314,0,273309,0.896572808195732,108916092,CLEVELAND
1000002,Dual Eligible,20624591128.69,499013804.5,113600450.0,8621186,0,77870,0.6596759225588572,11828484,CLEVELAND
1000003,Humana,4865551134.55,2891750989.24,2707537050.0,2698916,0,23593,0.9263685213318964,7996716,CLEVELAND
1000004,Blue Cross Blue Shield,5593456020.4,1035437186.83,2902857630.0,1106932,0,103559,0.2109373197548757,13455564,CLEVELAND
1000005,UnitedHealthcare,2203407559.94,584627142.42,1384350061.0,1004423,0,13594,0.9014880220954608,2806200,CLEVELAND
1000006,Aetna,7081140589.62,4237802933.39,1010131174.29,4147935,0,97464,0.8594086142046456,10588836,CLEVELAND
1000007,Anthem,5252928190.33,1411090747.63,1214964475.43,2564098,0,79937,0.8489153582674261,6352428,CLEVELAND
1000008,NO_INSURANCE,0.0,50411591940.28,0.0,0,17644573,133552,0.9847182319260356,49475736,CLEVELAND
1000009,Dual Eligible,453340470.63,3607127.39,1859530.0,83213,0,2474,0.7884642402855935,190440,AUSTIN
1000010,UnitedHealthcare,2050104327.31,484141345.32,1082284477.0,676151,0,9316,0.9250476052146308,2193060,AUSTIN
1000011,Aetna,2684279659.1,1828424452.91,338775280.56,1334166,0,41615,0.8485603683077934,4500552,AUSTIN
1000012,Anthem,3030791731.98,795810202.98,434660266.21,1098467,0,38360,0.8432369474226452,3486972,AUSTIN
1000013,NO_INSURANCE,0.0,17581568721.18,0.0,0,4544829,45458,1.0108136418953226,14283660,AUSTIN
1000014,Medicaid,11001894751.68,280196502.38,96937110.0,3439434,0,37757,0.9176043798253914,9866952,BOSTON
1000015,Dual Eligible,1644664607.81,33190006.21,8576330.0,598257,0,6786,0.7052965634940424,893556,BOSTON
1000016,Humana,3114910864.48,1788545914.17,1675316412.0,1576526,0,13649,0.9432586877331216,4952136,BOSTON
1000017,Aetna,986782353.74,610392591.84,192211817.1,527064,0,14806,0.9184995023859126,1654272,BOSTON
1000018,Cigna Health,1079304860.75,545963941.44,247108411.81,549475,0,14889,0.9172735839207922,1682568,BOSTON
1000019,Anthem,871924174.12,216602267.66,244814572.27,348917,0,12863,0.8954265417961785,1008684,BOSTON
1000020,NO_INSURANCE,0.0,7086148237.52,0.0,0,2532827,28611,0.985270397823368,8837112,BOSTON
1000021,Medicaid,46886871296.56,1103720133.74,388235060.0,13145466,0,103030,0.8990606579164422,39565404,CHICAGO
1000022,Dual Eligible,8638590155.9,160371564.11,40039090.0,2783353,0,28862,0.6711175970876503,4179972,CHICAGO
1000023,Humana,12503123855.41,6762599763.34,5735554092.0,5384818,0,45897,0.935893460535712,16942632,CHICAGO
1000024,Anthem,4849065252.81,1217536623.04,1116488064.45,1916110,0,65066,0.8777045074159854,5287344,CHICAGO
1000025,Medicaid,22038864120.67,553876320.52,182619110.0,6654859,0,57400,0.8939285336295669,18621228,DETROIT
1000026,Humana,934644128.26,509988701.77,436157388.0,431266,0,3999,0.9244450423155663,1290528,DETROIT
1000027,Blue Cross Blue Shield,938284231.16,155020391.34,420534927.0,150745,0,16507,0.19123567440678,2013888,DETROIT
1000028,Blue Cross Blue Shield,1523565010.05,244473263.79,543082002.0,201200,0,15332,0.2311414622095533,2480148,MIAMI
1000029,NO_INSURANCE,0.0,11545042969.66,0.0,0,2482316,17631,1.1244313615008483,6104052,MIAMI
1000030,Blue Cross Blue Shield,2701943029.35,859208756.62,1549497297.0,850717,0,24593,0.4714033231415461,5171376,NASHVILLE
1000031,Cigna Health,2079843526.43,1226400998.82,229599552.69,1178799,0,30614,0.8306972651114828,3618120,NASHVILLE
1000032,Dual Eligible,1490088400.75,29487997.87,6998220.0,500428,0,5210,0.6901664009619813,732216,PITTSBURGH
1000033,NO_INSURANCE,0.0,13234859789.3,0.0,0,3291924,35434,0.9713908988905492,11834196,SAN FRANCISCO
1000034,Cigna Health,7652896051.54,3740832745.28,1298083495.42,4193866,0,97556,0.8602211291375411,10607184,CLEVELAND
1000035,Blue Cross Blue Shield,3300973194.88,855899947.89,1575023220.0,759061,0,31613,0.3864765739784097,5795532,AUSTIN
1000036,Medicare,4082188308.54,206904184.18,478211655.6,1885164,0,19080,0.7222696944489755,2909316,BOSTON
1000037,Aetna,6226134554.07,3911807087.55,960918673.2,3243759,0,77319,0.904732964373786,9883956,CHICAGO
1000038,Aetna,1293881057.91,749102545.35,175875180.84,652125,0,16855,0.8541094058881956,1712052,DETROIT
1000039,Anthem,1101924866.68,269333620.3,221063743.49,436854,0,14147,0.8494418159306939,1101600,DETROIT
1000040,Medicare,6234262865.18,432284237.83,500927319.9,2170910,0,17644,0.6602842333023102,3146016,MIAMI
1000041,Aetna,2339751052.58,1636909196.9,149114725.91,1094246,0,28516,0.7922835473624703,3485904,MIAMI
1000042,Cigna Health,2802104270.43,1416993407.48,195331994.86,1111727,0,28388,0.8052587120594854,3524160,MIAMI
1000043,Medicare,5410455939.2,339800711.2,610694040.6,2496575,0,22175,0.6871391463408361,3774900,NASHVILLE
1000044,Medicare,2813387879.07,162792685.56,299176472.7,1271049,0,11773,0.6998336519415906,1821336,PITTSBURGH
1000045,Blue Cross Blue Shield,919664563.71,208328223.91,458254473.0,205302,0,10911,0.3001519784276202,1870908,PITTSBURGH
1000046,Aetna,702265069.9,449291561.16,106873137.52,377201,0,8908,0.912131299991934,1179984,PITTSBURGH
1000047,Medicaid,2313501499.91,49701665.53,15866330.0,615432,0,8212,0.9063468833983692,1614216,SALT LAKE CITY
1000048,Dual Eligible,277389029.07,4879371.6,1279310.0,87781,0,1214,0.6984768075712545,132744,SALT LAKE CITY
1000049,Cigna Health,466200961.28,220450828.98,93451732.97,208764,0,5753,0.915363228240978,645276,SALT LAKE CITY
1000050,Aetna,1352093089.73,694333160.62,189977890.4,501866,0,15031,0.8733787624922026,1438140,SAN FRANCISCO
1000051,NO_INSURANCE,0.0,51284259119.52,0.0,0,14235227,127735,0.9735589433397798,45679644,CHICAGO
1000052,Dual Eligible,3780977229.07,72577974.21,17153210.0,1265048,0,13446,0.6538263217891497,1789488,DETROIT
1000053,Anthem,2879825389.97,742949589.56,156455302.78,930186,0,26066,0.7934725179398995,2791176,MIAMI
1000054,Medicaid,7506167186.16,181652147.2,60329550.0,2178979,0,22939,0.9093598123757132,6151488,PITTSBURGH
1000055,Cigna Health,1563301937.6,595444057.27,233037223.61,505673,0,15108,0.881408482099609,1432644,SAN FRANCISCO
1000056,Humana,1768460088.11,860934151.46,635863500.0,607852,0,5278,0.94022161681537,1878168,TAMPA
1000057,Humana,5783653171.29,2840318033.55,2190128328.0,2108632,0,17355,0.9402610230890835,6470772,WASHINGTON DC
1000058,Medicare,8013289044.33,439998307.76,784204545.6,2975102,0,28441,0.6870157528643379,4827948,AUSTIN
1000059,Cigna Health,3144956087.08,1620573073.81,435076413.8,1366415,0,41786,0.8560065804481252,4567860,AUSTIN
1000060,Blue Cross Blue Shield,9441845472.8,2374659229.21,4562473614.0,2204130,0,94679,0.3626962952886027,17183952,CHICAGO
1000061,Medicare,4072954360.5,282698874.5,414952656.3,1776361,0,20180,0.6777717514580357,2538768,DETROIT
1000062,Humana,1431155206.44,709550139.52,530558964.0,498702,0,4278,0.9423139036235018,1567140,MIAMI
1000063,Dual Eligible,341801952.11,3399791.24,1697070.0,76514,0,2196,0.770842102211627,174000,NASHVILLE
1000064,Humana,3340297033.41,1924602402.76,1758506544.0,1650918,0,13835,0.942877392992049,5193768,NASHVILLE
1000065,Aetna,1779969515.35,1380174750.73,176478512.19,1150378,0,30690,0.8246131176024193,3589704,NASHVILLE
1000066,NO_INSURANCE,0.0,9270385321.36,0.0,0,2838852,24492,1.0479062719942849,7890348,NASHVILLE
1000067,Humana,1035164943.99,582011460.23,509580684.0,491089,0,4045,0.9324289807249152,1504848,PITTSBURGH
1000068,Anthem,527861123.57,134855645.99,116174033.18,212041,0,7309,0.8905776595324446,612252,PITTSBURGH
1000069,Dual Eligible,252154774.88,1820719.07,866360.0,39812,0,1206,0.7859652195895227,88872,TAMPA
1000070,UnitedHealthcare,811856495.28,175568026.13,342758284.0,226678,0,3004,0.9280200898947512,693900,TAMPA
1000071,Humana,4351194823.13,2314580171.3,1936383480.0,1743564,0,16982,0.938377316125061,5733216,AUSTIN
1000072,UnitedHealthcare,1395504805.78,354048808.19,860955926.0,558788,0,6736,0.9312036397176396,1739472,BOSTON
1000073,Medicare,24119066351.72,1247819127.4,2382557700.6,9512468,0,93051,0.6994255251198815,14505348,CHICAGO
1000074,Cigna Health,6974423877.41,3436940784.65,1238237039.19,3276525,0,77472,0.9079984860866142,9911388,CHICAGO
1000075,UnitedHealthcare,345220288.07,84103085.36,177673181.0,131530,0,2137,0.8887992547079201,362880,DETROIT
1000076,Cigna Health,1504586126.64,665908979.56,225343041.44,671722,0,16847,0.8597284283388806,1731900,DETROIT
1000077,NO_INSURANCE,0.0,7814011136.3,0.0,0,2501300,22753,0.9912486057301496,7739436,DETROIT
1000078,Dual Eligible,463766226.98,3215212.74,1573750.0,71115,0,2034,0.7878992923801019,160716,MIAMI
1000079,UnitedHealthcare,662298593.98,146269244.39,290959847.0,189919,0,2363,0.9268825218560082,587820,MIAMI
1000080,UnitedHealthcare,412734342.24,106136484.93,245047516.0,161795,0,2069,0.920724315494015,495528,PITTSBURGH
1000081,Cigna Health,791796804.87,400052847.07,139396982.26,385025,0,8933,0.917955372896383,1201284,PITTSBURGH
1000082,NO_INSURANCE,0.0,4582427267.39,0.0,0,1500123,14273,0.983084683395926,5096088,PITTSBURGH
1000083,Humana,859314225.36,485465481.2,426684330.0,378203,0,3809,0.9429273195247412,1263600,SALT LAKE CITY
1000084,Blue Cross Blue Shield,576613983.66,158640232.86,304370355.0,139134,0,6359,0.3962908537086292,1108476,SALT LAKE CITY
1000085,UnitedHealthcare,347511133.09,87005737.07,201464578.0,128834,0,1989,0.9226807327625658,410028,SALT LAKE CITY
1000086,Aetna,396788738.4,246669705.85,75085989.88,202230,0,5810,0.9151752160870064,642204,SALT LAKE CITY
1000087,Anthem,376402058.36,90517384.22,92904818.13,137478,0,5092,0.8962439743245536,404844,SALT LAKE CITY
1000088,NO_INSURANCE,0.0,2630269939.42,0.0,0,840792,10090,0.9741001022294016,3156108,SALT LAKE CITY
1000089,Dual Eligible,2828243826.16,43654840.27,10637010.0,750666,0,8453,0.6970464575678632,1102704,SAN FRANCISCO
1000090,UnitedHealthcare,4438959780.29,964786427.44,1987551685.0,1274022,0,12569,0.9318794918524734,4000500,SAN FRANCISCO
1000091,Blue Cross Blue Shield,1528308015.87,306724312.46,573277926.0,251167,0,13330,0.3164511526777673,2307516,TAMPA
1000092,Aetna,1679954318.37,1108283624.24,145233035.23,739785,0,20240,0.8297382376534054,2386908,TAMPA
1000093,Cigna Health,1993140830.6,958223872.09,185390629.76,751407,0,20193,0.8429370396089674,2417976,TAMPA
1000094,Medicare,5660273606.75,192817945.61,484024482.9,2033743,0,19866,0.7118303077804317,2945796,WASHINGTON DC
1000095,Medicaid,17408355155.75,352335143.32,119266410.0,4233047,0,39437,0.9219155880518146,12105780,WASHINGTON DC
1000096,UnitedHealthcare,2791345929.06,614742190.7,1253666637.0,849636,0,9103,0.9287065854802604,2529252,WASHINGTON DC
1000097,Blue Cross Blue Shield,2145321897.15,662749338.7,1232953815.0,657852,0,21441,0.4496996565371768,4207296,BOSTON
1000098,UnitedHealthcare,1705011405.32,437491473.41,1060523691.0,701917,0,7599,0.9318442690283124,2139144,NASHVILLE
1000099,Medicare,1365793293.03,64300046.92,138872361.6,539171,0,5404,0.7301768511952583,844788,SALT LAKE CITY
1000100,Medicaid,18381639380.24,356194894.87,122032930.0,4244874,0,44785,0.9276412392667944,12354792,SAN FRANCISCO
1000101,Anthem,1869602399.4,471417336.86,165683325.53,607333,0,18357,0.8254593047403123,1805880,TAMPA
1000102,NO_INSURANCE,0.0,9917292653.63,0.0,0,2172178,18312,1.0410237470976351,6341820,TAMPA
1000103,Dual Eligible,2637627013.86,42073856.81,10396240.0,729724,0,7949,0.6971149753623898,1080840,WASHINGTON DC
1000104,Aetna,459989480.04,241220129.69,118495123.08,183675,0,7153,0.8781523849078369,498228,WASHINGTON DC
1000105,Anthem,591964876.08,131092485.51,178830267.36,182006,0,7075,0.8809399917904833,499992,WASHINGTON DC
1000106,NO_INSURANCE,0.0,8556368031.28,0.0,0,2286026,24707,0.978251581680189,7642368,WASHINGTON DC
1000107,Cigna Health,544719932.1,215954997.86,144143118.53,199040,0,7220,0.875613961493041,513300,WASHINGTON DC
1000108,Medicaid,5789361809.83,130707983.46,51779170.0,1618374,0,34651,0.9604517756282854,5229684,AUSTIN
1000109,Medicaid,6700051649.77,126588746.36,48685220.0,1528389,0,29767,0.959142425413788,4914300,MIAMI
1000110,Medicare,10662883482.15,381498210.1,870461575.2,3630392,0,31648,0.705565574614094,5288280,SAN FRANCISCO
1000111,Humana,9125276505.79,4394992704.99,3392975844.0,3166924,0,24710,0.938358021196604,10017180,SAN FRANCISCO
1000112,Blue Cross Blue Shield,6805838051.0,1811111331.19,2768560227.0,1503084,0,37507,0.4910486942097649,9004980,SAN FRANCISCO
1000113,Medicare,4731222061.76,278261715.75,378619126.2,1597467,0,13478,0.6865927830169082,2344524,TAMPA
1000114,Medicaid,3855704561.17,72640882.24,28120590.0,888498,0,18822,0.9623110508790296,2834508,TAMPA
1000115,Blue Cross Blue Shield,4048276965.61,1133497861.24,1691980089.0,979894,0,24629,0.5105085792193824,5397516,WASHINGTON DC
1000116,Anthem,2141867105.76,607154148.3,192954904.88,954768,0,28014,0.8160591995680956,2769588,NASHVILLE
1000117,Anthem,1294920329.15,275395563.49,255478393.47,371380,0,13227,0.875563427113964,1014096,SAN FRANCISCO
1000118,Medicaid,4847709885.86,129227577.72,50065010.0,1577209,0,31072,0.9594212264447936,5048556,NASHVILLE
1000119,UnitedHealthcare,5263089744.88,1286326974.3,2876267678.0,1911844,0,23973,0.9184760437769812,5815980,CHICAGO
